title,year,genre,movie_description,critical_consensus,review
The Hunger Games: Catching Fire,2013,"['Adventure', 'Sci-Fi', 'Action']","After arriving safely home from their unprecedented victory in the 74th Annual Hunger Games, Katniss Everdeen (Jennifer Lawrence) and Peeta Mellark (Josh Hutcherson) discover that they must do a quick turnaround and begin a Victors Tour. As she and Peeta travel throughout the districts, Katniss senses a rebellion is stirring. However, President Snow (Donald Sutherland) proves that he is still very much in control when word comes of a cruel change in the rules for the upcoming 75th Hunger Games.","Smart, smoothly directed, and enriched with a deeper exploration of the franchise's thought-provoking themes, Catching Fire proves a thoroughly compelling second installment in the Hunger Games series.","['Catching Fire delivers on the grim, roiling promises of the original.', ""Director Francis Lawrence's film runs nearly two-and-a-half hours but it concludes so abruptly and tantalizingly, it leaves you wanting more."", 'Far from being a mere holding pattern, Catching Fire feels like an advance and an improvement. Let the games continue.', 'Gary Ross did the hype justice by kicking off the series with a highly effective adaptation and now Francis Lawrence builds upon that success by taking the budget boost and funneling it into top talent, stunning visuals and an all-consuming experience.', 'Given the strength of this installment, I\'d say the box-office odds continue to be, in that Hunger Games catchphrase, ""ever in its favor.""', 'It is heartening to find a teen-oriented movie franchise as gritty as The Hunger Games. Even so, Catching Fire remains contradictory, caught in some nether world between nightmarish political allegory and adolescent escapism.', ""It's mainstream entertainment, but it succeeds at being riveting and deeply unsettling mainstream entertainment that casts a critical light on our current systems."", 'Like Katniss, Lawrence has become bigger than the Games themselves, something that makes her very powerful, very dangerous and rather inspirational.', 'None of it would work -- not the action, the adventure, the political subtext or the humor -- without the strength and beauty that Ms. Lawrence brings to the central role.', 'Now the violence is not merely physical, but existential. Far from having won her freedom as promised, Katniss is now imprisoned in a false public narrative-supporter of the Capitol, lover of Peeta-from which she may never escape.', 'The Hunger Games: Catching Fire takes the narrative and thematic liberties traditionally granted the middle chapter in a trilogy and drives the stakes up sharply.', 'The budget is nearly twice the original, and it shows. Great work from the A-list cast, amazing set designs and costumes.', ""The grand climax, whose elements include a long piece of wire, a lightning bolt, and an electronic force field, is an incoherent, rapid blur that will send the audience scurrying back to the book to find out what's supposed to be going on."", 'The movies (gratefully) violently counteract any attempt we might make to see them as fun escapism.', 'The one truly fresh invention-and the one that matters most-is Katniss herself. With each on-screen chapter, the poor girl from District 12 continues to fulfill her destiny as an inspiration and a rebel fighter.', ""This follow-up to the 2012 hit based on Suzanne Collins' novel, represents commendable storytelling that ought to please the book's many fans"", ""This is Empire Strikes Back stuff. It has that second Star Wars movie's kick of confidence."", 'This second in the Hunger Games trilogy, directed by Francis Lawrence, has many of the virtues and somewhat fewer defects as its predecessor.', 'Though some of the chases and escapes are thrillingly filmed, this last section of the film feels indistinguishable from plenty of other video-game-style avoid-the-obstacle action climaxes.', 'Vivid, visceral filmmaking, twisty and entertaining, with startlingly good turns by Jennifer Lawrence and Philip Seymour Hoffman.']"
The Hunger Games: Mockingjay – Part 1,2014,"['Action', 'Adventure', 'Sci-Fi']","Following her rescue from the devastating Quarter Quell, Katniss (Jennifer Lawrence) awakes in the complex beneath the supposedly destroyed District 13. Her home, District 12, has been reduced to rubble, and Peeta Mellark (Josh Hutcherson) is now the brainwashed captive of President Snow (Donald Sutherland). At the same time, Katniss also learns about a secret rebellion spreading throughout all of Panem -- a rebellion that will place her at the center of a plot to turn the tables on Snow.","The Hunger Games: Mockingjay - Part 1 sets up the franchise finale with a penultimate chapter loaded with solid performances and smart political subtext, though it comes up short on the action front.","['""Mockingjay - Part 1,"" however well done, can\'t compete with the first two films, although it sets up what should be its stunning ending well enough.', 'A solid lead-up to the finale.', 'A spiky media satire about the making and marketing of a revolution that most definitely will be televised.', 'As an actress, Lawrence has grown beyond this sort of thing, and the entire enterprise, directed by Francis Lawrence, feels like a massive placeholder for the grand finale.', ""If Mockingjay - Part 1 is quieter and less flashy than its predecessors, that doesn't make it less satisfying."", 'In the excitable world of dystopian fantasy, the series remains the best of the bunch.', ""It may be the franchise's third movie, but it plays like its 'Empire Strikes Back.'"", ""It's an elaborate game of hurry-up-and-wait. And it's the most shameless example yet of splitting the final book in a hugely popular series into two film adaptations."", 'Jennifer Lawrence\'s charisma and the the sly excellence of her supporting cast keep ""The Hunger Games: Mockingjay, Part 1"" aloft.', 'Lawrence never lets the oversized settings swamp his talented performers.', ""Might it have been better if they'd squeezed the whole book into one movie? Probably. Nonetheless, Mockingjay Part 1 is a fine entertainment, shot through with moments of surprising emotional impact."", ""Mockingjay has more exposition than a TED Talk, more rubble than a decade of The Flintstones, and absolutely no nonmonetary reason to be Part 1 of anything. It isn't storytelling. It's a filibuster."", ""Mockingjay, Part 1 might be the least of the films so far, but in dissecting the typical blockbuster film, it's staying true to that spirit."", 'Once you accept that the splitting of Mockingjay is a business decision, not a dramatic imperative, Part 1 comes off as a curiously satisfying nonaction movie.', ""The converted will be satisfied, or at least show up to the theater in obeisant force. Money will be made and anticipation stoked for next year's blowout finale. It's a circle-vicious to some, a religion to others-with no end in sight."", 'The effect of so many Oscar-calibre actors speaking the generic dialogue is like watching pro ballplayers play T-ball.', 'The meat of this franchise seems more in line with Edward Bernays than any fantasy or sci-fi author. This latest edition takes public relations to its bloodiest extreme.', 'The penultimate episode in the franchise feels like the mighty inhale that precedes a noisy, explosive sneeze. We must wait another year for release.', 'This is certainly a film adults can get into. The explosions, propaganda techniques, and unrest are a reminder of a history not entirely out of reach; a world and society all too realistic. for many living today.', ""To say Lawrence is a terrific actress wouldn't even scratch the surface, as she deserves high praise for somehow making an uninteresting Part 1 watchable.""]"
Forrest Gump,1994,"['Comedy', 'Drama & Romance']","Slow-witted Forrest Gump (Tom Hanks) has never thought of himself as disadvantaged, and thanks to his supportive mother (Sally Field), he leads anything but a restricted life. Whether dominating on the gridiron as a college football star, fighting in Vietnam or captaining a shrimp boat, Forrest inspires people with his childlike optimism. But one person Forrest cares about most may be the most difficult to save -- his childhood love, the sweet but troubled Jenny (Robin Wright).","Forrest Gump may be an overly sentimental film with a somewhat problematic message, but its sweetness and charm are usually enough to approximate true depth and grace.","['A dark and driven work, haunted by violence, cruelty and a sense of the tragically absurd.', 'A weirder, darker, and better movie than its reputation suggests.', 'All this might have seemed like pressing optimism a bit without the bland but still potent presence of Tom Hanks at its centre, clearly on his way to another Oscar nomination.', ""Contrasting Forrest's unassuming innocence with the upheavals and rancor of the times, the film is a wisely goofy commentary on the stupidity of smartness."", 'Credit for the success of the film has to start with director Robert Zemeckis, who has taken his Back to the Future and Who Framed Roger Rabbit success and parlayed it into a more mature, yet equally entertaining, film.', 'For all its ambition, the movie ends up using great historical events in the service of a dubious sentimentality.', 'Forrest Gump is a schmaltz-Zelig, a Being There engineered from the genetic material of a Hallmark card.', 'Forrest Gump, the new Tom Hanks movie directed by Robert Zemeckis, is a one-of-a-kind treat.', ""Good as Wright and Sinise are in their roles as Forrest's near-suicidal soulmates, the movie always comes back to Hanks, and director Robert Zemeckis helps him to achieve some of his finest emotional moments."", ""I can't see how people with low I.Q.s or those who love them are in any way comforted by all this hogwash. I can easily see how such people might be offended by its smug unreality."", ""It might hit you right in the feels, even as your eyes are rolling. To quote one of Forrest's truest pieces of wisdom: Maybe both is happening at the same time."", 'It remains a bad movie that gets worse with age.', ""It's most successful when it is being off-center, a state of grace it doesn't quite have the nerve to maintain."", ""It's too specific to be a proper allegory, and too vague to provide a satisfactorily millennial perspective on the last 50 years. Neither is it caustic enough to make one cry, nor soppy enough to make one laugh."", 'Self-ingratiatingly, and for this viewer maddeningly, it blends the comic with the Christly, the satirical with the sentimental, the free-thinking with the fuddy-duddy.', ""So afraid to dredge up debate that when Forrest is handed a mic at an antiwar rally, someone unplugs the speakers so we can't hear him - fitting for a movie with nothing to say."", ""The movie's technical tricks are great fun, as is its musical soundtrack, which captures the essences of the eras it traverses. But when you come right down to it, it's the oddly magnetic personality of Forrest himself that is the biggest draw."", ""This isn't the meaningful movie it pretends to be. But as a goofy entertainment that speeds through the latter half of the 20th century, stopping here and there to snap a photo or two, Forrest Gump does just fine."", 'This tall tale may reach monumental proportions, but Forrest Gump always keeps its magical airiness and grace.', 'Warm, wise, and wearisome as hell.']"
The Hunger Games: Mockingjay – Part 2,2015,"['Action', 'Adventure', 'Sci-Fi']","Realizing the stakes are no longer just for survival, Katniss Everdeen (Jennifer Lawrence) teams up with her closest friends, including Peeta (Josh Hutcherson), Gale (Liam Hemsworth) and Finnick for the ultimate mission. Together, they leave District 13 to liberate the citizens of war-torn Panem and assassinate President Snow, who's obsessed with destroying Katniss. What lies ahead are mortal traps, dangerous enemies and moral choices that will ultimately determine the future of millions.","With the unflinchingly grim Mockingjay Part 2, The Hunger Games comes to an exciting, poignant, and overall satisfying conclusion.","['A movie that is too silly to be so somber, and too somber to be much fun.', ""After the forced histrionics of Part 1, it's nice to see star Jennifer Lawrence being allowed to quiet down and act again. But the story still feels stretched, a countdown that slows as it approaches zero hour."", 'All hail to the humongous Hunger Games franchise.', ""As wobbly as Mockingjay - Part 2 is, it's powerful because its characters and conflicts have become so familiar in the culture, and because it completes a long and painful journey."", ""Despite exhilarating special effects and action sequences, Katniss meets her waterloo in 'Mockingjay' Part 2"", 'Director Francis Lawrence (no relation to Jennifer) has steered this big, unwieldy ship of a story safely into harbor.', 'Director Francis Lawrence stages the action sequences... with a modicum of flair, and Julianne Moore as rebel leader Coin gives off some sparks, but for the most part there is nothing divertingly new or different about this franchise fade-out.', 'Explosive, mostly true to the text, complex and chock full of action, ""The Hunger Games: Mockingjay - Part 2"" should more than satisfy the franchise\'s many fans.', ""For the past three falls, a new 'Hunger Games' movie has come around to remind us that so many of its elements - blockbuster franchise, YA novel adaptation, multiple films from one book - aren't inherently evil."", 'If Mockingjay - Part 1 was walkier and talkier than its forerunners, Part 2 is pretty much all action - and lesser for it.', ""So much better than last year's plodding, aimless Part 1."", ""Still a strong effort, and I respect the heck out of the filmmakers' collective efforts to maintain thematic fidelity to the overarching ideas Collins' novels deftly end up exploring."", ""The Hunger Games movies began with much promise but after the pinnacle of Catching Fire, it has been a slog to the finish line. We're finally there and I feel more exhausted than fulfilled."", ""The Hunger Games, which kicked off in a blaze of guts 'n' glory in 2012, ends now with a sad whimper, along with a lot of big bangs signifying nothing."", 'The best thing about The Hunger Games: Mockingjay - Part 2 is how unconcerned it is with what we expect in terms of closure of a happy ending.', 'The final installment of the ""Hunger Games"" franchise manages to give us everything we\'ve been waiting for and still underwhelm.', ""There are frequent close-ups that showcase Jennifer Lawrence's extraordinary expressiveness; like Katniss for the rebels, Lawrence is the film's figurehead, not only its protagonist but also bearing the entire burden of representing its narrative."", ""There are some complex ideas about power and corruption at play, and it's good to see this final instalment refusing to sell out either its role model heroine or its darkly dystopian sociopolitical themes."", 'This Hunger Game is one too many, a 2010-era cash grab in its purest form, more akin to a stern-faced curtain call than a fleshed-out story with a beginning, middle, and end.', 'This revenge plot animates Mockingjay Part 2 with a satisfying rage.']"
Casino Royale,2006,"['Action', 'Mystery, Thriller & Horror', 'Adventure']","After receiving a license to kill, British Secret Service agent James Bond (Daniel Craig) heads to Madagascar, where he uncovers a link to Le Chiffre (Mads Mikkelsen), a man who finances terrorist organizations. Learning that Le Chiffre plans to raise money in a high-stakes poker game, MI6 sends Bond to play against him, gambling that their newest ""00"" operative will topple the man's organization.","Casino Royale disposes of the silliness and gadgetry that plagued recent James Bond outings, and Daniel Craig delivers what fans and critics have been waiting for: a caustic, haunted, intense reinvention of 007.","['A film that strips most of the glamour and escapism from Bond, but remains the truest and toughest instalment yet.', ""Basically, Craig's Bond is a new and individual creation."", ""Bond as a human being? Who'd'a'thunk?"", 'Bond is back. Bond is beefy. And the new Bond is blond. Daniel Craig has comfort ably slipped into the tuxedo, size 007, and left audiences shaken and stirred.', ""Casino Royale has the answers to all my complaints about the 45-year-old James Bond series, and some I hadn't even thought of."", 'Casino Royale takes us back to basics. To a leaner production and to a Bond who looks like he can do serious damage', ""Craig brings beef, biff and a slightly lonely dimension to the character. He's a fine actor and he has some of the working-class bile of the young Michael Caine. A new James Bond has certainly arrived."", ""Craig is also the best Bond in the franchise's history."", 'Daniel Craig is a fair-haired, bare-knuckle antidote to Pierce Brosnan. On the action-adventure level, it hits the bulls-eye.', 'Daniel Craig, an excellent actor, has more than earned his Walther PPK.', 'I consider Daniel Craig to be the most effective and appealing of the six actors who have played 007, and that includes even Sean Connery.', 'I hope Craig finds more moments like that in Bond. And I hope he gets to wear that tuxedo again and again and again.', 'I think this is a very intelligent film for a Bond film, and certainly one of the most enjoyable.', ""Let's say straight off that Craig is very good indeed: everything about his performance shows cunning and grace."", 'The film has breathless stunts and encounters aplenty.', 'The first Bond film to actually prize three-dimensional characters and moral dilemmas over action-film flash.', ""There's clearly life in the old dog yet."", 'This, at last, is Bond stripped bare.', ""Unlike recent Bonds, whose kills had no more weight than the one-liners that generally accompanied them, Craig's tend to be intimate, bloody, and devoid of glamour."", ""Welcome to the new world of MI6's most storied agent.""]"
Ready Player One,2018,"['Action', 'Fantasy', 'Adventure', 'Sci-Fi']","In 2045, the planet is on the brink of chaos and collapse, but people find salvation in the OASIS, an expansive virtual reality universe created by James Halliday. When Halliday dies, he promises his immense fortune to the first person to discover a digital Easter egg that's hidden somewhere in the OASIS. When young Wade Watts joins the contest, he finds himself becoming an unlikely hero in a reality-bending treasure hunt through a fantastical world of mystery, discovery and danger.",Ready Player One is a sweetly nostalgic thrill ride that neatly encapsulates Spielberg's strengths while adding another solidly engrossing adventure to his filmography.,"['A blast of pure childlike amusement.', 'A heckin fun movie, full of stunning action sequences and laughs and winks at the kids who grew up watching Back to the Future and Jurassic Park and E.T. and Indiana Jones.', ""Fans of Ernest Cline's book are already grumbling about the changes and omissions in this expansive, expensive adaptation. I enjoyed the film more than I expected to--but felt that it went on too long and squandered its potential in the process."", ""For all its ferocious energy, Ready Player One strikes me as the product of a cinema of exhaustion-it's a film about having come too far and being at the end of something, where extraordinary things no longer mean much, or have become toxic."", 'Haptics weren\'t needed to feel the emotional pull of his best films; they aimed for the heart and hit much more often than they missed. ""Ready Player One"" aims for the adrenal gland.', ""I saw the film in IMAX, and a week later I'm still waiting for the safe return of my optic nerves, but it was the meagre emotional charge that shocked me most."", ""It is, despite Spielberg's claims, neither a purehearted popcorn flick nor a Paul Verhoevenesque subversion, but something uneasily in between, cowed by the idea of the fanboy demographic."", ""It may be impossible to separate Ready Player One from its references, and without the Easter eggs, inside jokes, and endless homages, Ready Player One doesn't offer much that is unique to itself."", ""It's a little hard not to feel like the emperor isn't wearing any clothes."", ""It's all blind, superficial adoration devoid of the very sort of adult perspective it so desperately requires."", ""It's pure entertainment, and gives Spielberg an easel to prop his sentimental painting on, and all the colors on his palette to do so."", ""Life in the OASIS is exciting and wondrous to behold through your avatar's oversized anime eyes, but it doesn't mean much without some real-world stakes, and that's where the film stumbles, badly."", ""Ready Player One certainly isn't just a film, it's an experience. It's a game... and we all win."", 'Ready Player One is a pageant of now-dated pop culture references, an elaborate feat of CGI and copyright clearance, with images from games and movies speeding past, to the tune of Van Halen and A-Ha.', 'Ready Player One may be a movie about the future, but it is damningly a product of our present.', 'Ready Player One needs to throw as many shiny things with nostalgic value at you as it can to cover up how boring the entire affair is.', 'So much of Ready Player One is assembled from the detritus of our past that it is less a film and more an overstuffed cultural recycling bin.', ""Spielberg wants us to drop the techno-gadgets and join hands, but it's the VR world that really juices him. He's the ultimate fanboy making a movie about the need to move beyond being a fan."", ""This is hardly Spielberg's most creative genre work - but...it does speak to the joyful, unapologetic classicism of his film-making style."", ""Turns out that treating the movies entirely as a jungle gym brings out Peter Pan's inner brat. He's made a movie for lost boys.""]"
Cars 2,2011,"['Comedy', 'Kids, Family & Animation', 'Kids, Family & Animation', 'Adventure']","Racecar Lightning McQueen (Owen Wilson) and his tow-truck buddy, Mater (Larry the Cable Guy), have had their share of adventures together but nothing like what they experience when they head overseas for the first-ever World Grand Prix. While Lightning has his eye on the road to the championship, Mater takes a detour to international espionage when he meets British master spy Finn McMissile (Michael Caine) and stunning spy-in-training Holley Shiftwell (Emily Mortimer).","Cars 2 is as visually appealing as any other Pixar production, but all that dazzle can't disguise the rusty storytelling under the hood.","[""...by Pixar's outrageous standards of Oscar shoo-in virtuosity, this sequel is a disappointment at best."", 'A sequel that improves on the original, Cars 2 is sheer delight.', 'Although it would be unfair to label Cars 2 as unwatchable, it is surprisingly tedious in parts and not as satisfying as one might expect.', 'Capturing the spirit of old Saturday Morning cartoons, most notably of the Hanna-Barbara variety, the movie it a witty adventure kids will adore and parents will get a pretty decent kick out of.', ""Cars 2 is marginally better than its predecessor, but the same problem still remains: Cars just aren't very interesting as anthropomorphic animation vehicles (pun intended)."", ""Don't tell the kids, but Santa Claus isn't real and Pixar is fallible."", ""I have such high regard for Pixar and its creative team, led by John Lasseter, that it actually hurts to knock one of their movies-something I've never done before. But then, I've never gotten a headache watching any of their previous films. Despite..."", ""It is all quite jolly and fast-paced, a feast for the eyes, but there's not much for the mind or the heart."", ""It's an example of what a sequel should, or at least can, be."", ""It's not vintage Pixar, but Cars 2 is still streets ahead of most of the animated pack."", ""Larry the Cable Guy has helped make Mater one of Pixar's sweetest creations. He just happens to reside in the studio's least-magical franchise."", 'Not much engine-power here.', ""Not that Cars 2 is an actively bad animated film. It's just sort of an average animated film."", 'So-so.', 'Sweet turbo mother of fuel injections, what is this?', ""The invention here is often still dazzling, the race sequences are invigorating and spirited voice work atones for the inexpressiveness of the cars themselves. Even so, this isn't Pixar at top gear."", 'The trouble with stuffing too much into a film quickly becomes evident in Cars 2, as the plotlines tumble and collide with each other creating, mostly, cacophony.', 'This is one Pixar film where you really do feel the length as keenly as the merchandising push.', 'Time, perhaps, for the franchise to be towed off to the scrapyard. Sorry, Pixar.', ""Unlike most Pixar fare, this isn't a movie you can imagine many adults wanting to see without their children in tow.""]"
Cars,2006,"['Comedy', 'Kids, Family & Animation', 'Kids, Family & Animation', 'Adventure']","While traveling to California to race against The King (Richard Petty) and Chick Hicks (Michael Keaton) for the Piston Cup Championship, Lightning McQueen (Owen Wilson) becomes lost after falling out of his trailer in a run down town called Radiator Springs. While there he slowly befriends the town's odd residents, including Sally (Bonnie Hunt), Doc Hudson (Paul Newman) and Mater (Larry the Cable Guy). When it comes time for him to leave to championship is no longer his top priority.","Cars offers visual treats that more than compensate for its somewhat thinly written story, adding up to a satisfying diversion for younger viewers.","['Along came the interstate, apparently, and ruined everything. Just like that darned Internet, I guess, or that superhighway stuff, or those dumb movies they make with computers nowadays.', ""Cars is Pixar's most improbable success to date, a film that could easily have misfired, but somehow does not."", 'Cars made me want to hop in my jalopy and to head out to Route 66, bypassing the boring interstate highways that made the Mother Road redundant.', ""Cars might get us into car world as a gimmick, but it doesn't get us into car world as a state of mind. Thus, the animation, rather than seeming like an expression of the movie's deeper truth, becomes an impediment to it."", ""Cars somewhat self-indulgently runs nearly two hours -- but overall, it's well worth the trip."", 'For parents out there whose future holds the certain prospect of the DVD version blaring repeatedly from family-room screens, let this by your advisory. Warning: Cars comes unequipped with two essential options -- charm and a good muffler.', 'I\'m wondering if the Piston Cup conceit of huge crowds of cars watching fellow cars race around a track crashing is perverse in a ""They Shoot Horses, Don\'t They?"" sort of way.', ""It achieves the near impossible, turning cars, trucks, tractors and farm harvesters into cute Disney characters whose fates you'll care about."", 'It had to end sometime. After a run of standard-setting CGI movies, Pixar has finally delivered a dud.', 'It thunders ahead with breezy abandon, scoring big grins on its way.', ""It's another innovative piece of entertainment from the animation studio, taking the audience on a kinetic trip into a world populated only by automobiles."", ""It's beautiful to look at. The talking cars feel more alive than talking cars should."", ""It's impossible to find more joy in the dark at the moment."", ""It's touching, it's funny, it offers cautions about the modern pace of life, and it depends on a sense of rural Americana for its soul."", 'Its characters may be made of steel, but this movie is made of sturdier stuff: heart and art.', ""Judged against previous form, this is not Pixar firing on all cylinders, lacking the sophisticated comedy we've come to expect. Judged against fare from other studios, however, it's a triumph."", 'Like the Toy Story films, Cars is a state-of-the-computer-art plea on behalf of outmoded, wholesome fifties technology, with a dash of Zen by way of George Lucas.', 'Rips off Doc Hollywood, almost note for note.', 'Smooth, but bland and forgettable.', ""Though the central idea of nostalgia for a quieter, small-town life may well be lost on this movie's young audience -- Cars finds a pleasant and often sparkling groove.""]"
Gladiator,2000,"['Action', 'Drama & Romance', 'Adventure']","Commodus (Joaquin Phoenix) takes power and strips rank from Maximus (Russell Crowe), one of the favored generals of his predecessor and father, Emperor Marcus Aurelius, the great stoical philosopher. Maximus is then relegated to fighting to the death in the gladiator arenas.",Ridley Scott and an excellent cast successfully convey the intensity of Roman gladitorial combat as well as the political intrigue brewing beneath.,"['All the pieces are in place, but somehow they just don’t come together.', ""Crowe doesn't use tricks in this role to court our approval. He earns it the old-fashioned way, by daring to be quiet, if not silent, and intensely, implacably strong."", ""Gladiator is filled with brilliant filmmaking and features outstanding performances, but it's neither profound enough nor pop enough to be great -- it's mournful, serious, beautiful and, finally, pointless."", ""Gladiator's combination of grim sanctimony and drenching, Dolby-ized dismemberings left me appalled."", ""If there's a soft spot in your heart for the sword-&-sandal epic, then you'll swoon with giddy delight over Gladiator."", ""In Russell Crowe, Scott has found an actor who can carry this movie the way Atlas was supposed to carry the globe of the world on his back -- in Crowe's case without stooping."", 'In the end, Gladiator is overdrawn and too insubstantial for its own good, just like the old days, but it satisfies as entertainment on a grand scale.', 'It is monumental movie-making: visually thrilling, technically astonishing, and emotionally engaging.', 'Rather than getting lost in the world Scott has created on screen, Scott asks filmgoers to marvel at how he created that world, and how smoothly he succeeds in manipulating us.', 'Really excellent but really violent Oscar winner.', ""Ridley Scott thrusts us so close to the combat that all we see is a lot of whirling and thrashing, a sword thrust here and there, a spurt of blood, a limb severed. There's hardly a scene that is cleanly and coherently staged in open space."", 'Russell Crowe solidly anchors this epic-scale gladiator movie - the first in nearly four decades - by using his burly frame and expressive face to give dimension to what might otherwise have been comic book heroics.', ""The Roman costume drama, all dressed to the IX's, has taken a long holiday from the big screen."", ""The cast is strong (notably Nielsen as Commodus's vacillating sister, and the late Oliver Reed, unusually endearing as a gladiator owner), the pacing lively, and the sets, swordplay and Scud catapults impressive."", 'The fusion of the ancient and the modern -- even to the point of some sly echoes of our own sports-mad society -- is seamless. Gladiator does indeed deliver the glory that was Rome, but it also clinically dissects the assumptions on which it was built.', 'The journey of Maximus, from triumph on the battlefield through despair and degradation in slavery and then to a final epiphany in the Colosseum is an exciting one - and Russell Crowe plays the character with considerable toughness and authority.', ""Though the digital effects lack the weight and conviction of their equivalents in old Cecil B. De Mille movies, Ridley Scott's sword-and-sandal epic has some of the intensity of old Hollywood in terms of storytelling, spectacle, and violence."", 'Throughout it all, Crowe maintains a tough, slot-mouthed reticence; he is very persuasive as the superman of the Colosseum.', ""Time for a little gladiatorial gore with your Milk Duds. Gladiator is here, and it's big, glorious and eminently dumb."", 'Ultimately, Gladiator is an honorable and inoffensive spectacle with nothing extraordinary to recommend it.']"
Alita: Battle Angel,2019,"['Action', 'Kids, Family & Animation', 'Adventure', 'Fantasy', 'Sci-Fi']","Set several centuries in the future, the abandoned Alita is found in the scrapyard of Iron City by Ido, a compassionate cyber-doctor who takes the unconscious cyborg Alita to his clinic. When Alita awakens, she has no memory of who she is, nor does she have any recognition of the world she finds herself in. As Alita learns to navigate her new life and the treacherous streets of Iron City, Ido tries to shield her from her mysterious past.","Alita: Battle Angel's story struggles to keep up with its special effects, but fans of futuristic sci-fi action may still find themselves more than sufficiently entertained.","['A cyberpunk epic based on a popular manga with a strong pedigree behind the camera, should be an event movie, advertised and anticipated as one of the big films of the year.', 'A striking new female character is ready for action in a fantastic-looking movie. Cameron and Rodriguez were the right team to bring this story to life in such a kinetically entertaining fashion', 'Alita is powered by James Cameron\'s visionary world-building. But the last thing you want to use to sell something is ""written by James Cameron"".', 'Alita too often feels thin, despite a surfeit of heavy-hitting talent.', 'Alita: Battle Angel wants to frame its futuristic Pinocchio narrative around a story of teenage romance, but the end result is a bunch of pixels falling in love with the first boy they meet. Next time, stick to the parts where you punch.', ""As spectacle, the film is aces. It welds Rodriguez's eccentric touch with action and special effects to Cameron's mastery of world-building."", 'Attending the movies should not come with homework assignments, and if a film only works if you study its backstory in advance, there is something terribly wrong.', ""Basically, we're talking about a lot of human heads doing a lot of insulting and quipping and grunting and groaning while atop all manner of fighting cyborg bodies"", 'For a film that is meant to be about a female character growing into herself, Alita: Battle Angel consistently denies her agency, resorting to men to shape her narrative.', ""I loved watching this sci-fi spectacle's moving parts. I just couldn't get past its brain."", 'If only the story of Alita: Battle Angel had been as impressive as its technical achievements.', 'It suffers because like most of the Cameron stories, its not a deep story and unfortunately the special effects are really strong, but they are not revolutionary.', ""It's goofy as hell and borderline inexcusable at times, but it's also kind of glorious."", ""It's more of a scavenger hunt than a movie."", ""It's sort of overlong and overstuffed, but Rosa Salazar is quite good."", 'The ending is both daring and, when we finally see who is controlling that space city, all set up for a sequel.', 'The visual bonanza cooked up by Rodriguez, cinematographer Bill Pope and editors Stephen E. Rivkin and Ian Silverstein is enough to power through any narrative bumps with quickly paced action and bleak, yet colorful, imagery.', ""The world they have created is immersive and wildly imaginative and the action scenes are staged are dynamic and compelling. There's heart to it as well."", 'True to its origins, Alita is a living cartoon of a film, which only makes its ridiculousness easier to absorb.', 'Ultimately, ""Alita"" seeks to create a semi-immersive experience (the 3D is impressive), but in the process plays like more like a video game than a movie, which is fine for about all of 10 minutes.']"
