Title,Year,Google_Users,Google user ratings,movie description
Avatar,2009,"['86% liked this film', 'Google users']","['4.5', '4274 ratings']","['Description', ""Jake, who is paraplegic, replaces his twin on the Na'vi inhabited Pandora for a corporate mission. After the natives accept him as one of their own, he must decide where his loyalties lie.""]"
Avengers: Endgame,2019,"['94% liked this film', 'Google users']","['4.7', '22212 ratings']","['Description', 'After Thanos, an intergalactic warlord, disintegrates half of the universe, the Avengers must reunite and assemble again to reinvigorate their trounced allies and restore balance.']"
Titanic,1997,"['94% liked this film', 'Google users']","['4.7', '8466 ratings']","['Description', 'Seventeen-year-old Rose hails from an aristocratic family and is set to be married. When she boards the Titanic, she meets Jack Dawson, an artist, and falls in love with him.']"
Star Wars: Episode VII - The Force Awakens,2015,"['80% liked this film', 'Google users']","['3.3', '2252 ratings']","['Description', 'A new order threatens to destroy the New Republic. Finn, Rey and Poe, backed by the Resistance and the Republic, must find a way to stop them and find Luke, the last surviving Jedi.']"
Avengers: Infinity War,2018,"['92% liked this film', 'Google users']","['4.7', '5519 ratings']","['Description', 'The Avengers must stop Thanos, an intergalactic warlord, from getting his hands on all the infinity stones. However, Thanos is prepared to go to any lengths to carry out his insane plan.']"
Jurassic World,2015,"['88% liked this film', 'Google users']","['4.6', '2086 ratings']","['Description', 'A theme park showcasing genetically-engineered dinosaurs turns into a nightmare for its tourists when one of the dinosaurs escapes its enclosure. An ex-military animal expert steps up to save the day.']"
The Lion King,2019,"['86% liked this film', 'Google users']","['3.9', '3526 ratings']","['Description', 'Simba, a young lion prince, flees his kingdom after the murder of his father, Mufasa. Years later, a chance encounter with Nala, a lioness, causes him to return and take back what is rightfully his.']"
The Avengers,2012,"['87% liked this film', 'Google users']","['4.7', '3208 ratings']","['Description', 'Nick Fury is compelled to launch the Avengers Initiative when Loki poses a threat to planet Earth. His squad of superheroes put their minds together to accomplish the task.']"
Furious 7,2015,"['88% liked this film', 'Google users']","['4.8', '1323 ratings']","['Description', ""Dominic and his family are caught in a quagmire when Shaw's brother seeks bloody revenge. They must not only deal with their enemy but also save a crucial programme from falling into the wrong hands.""]"
Frozen II,2019,"['88% liked this film', 'Google users']","['4.3', '8988 ratings']","['Description', 'Queen Elsa begins to hear a mysterious melodic voice calling to her. Unsettled, she answers it, thus awakening the elemental spirits and setting into motion a quest to restore an old injustice.']"
