Title,Year,google_use_like,google_use_score,google_use_n_rev,movie_description,imdb_score,rotten_tom_score,metacritic_score,id
Avatar,2009,0.86,0.9,4274.0,"Jake, who is paraplegic, replaces his twin on the Na'vi inhabited Pandora for a corporate mission. After the natives accept him as one of their own, he must decide where his loyalties lie.",0.78,0.81,0.83,Avatar-2009
Avengers: Endgame,2019,0.94,0.9400000000000001,22212.0,"After Thanos, an intergalactic warlord, disintegrates half of the universe, the Avengers must reunite and assemble again to reinvigorate their trounced allies and restore balance.",0.8400000000000001,0.94,,Avengers: Endgame-2019
Titanic,1997,0.94,0.9400000000000001,8466.0,"Seventeen-year-old Rose hails from an aristocratic family and is set to be married. When she boards the Titanic, she meets Jack Dawson, an artist, and falls in love with him.",0.78,0.89,0.75,Titanic-1997
Star Wars: Episode VII - The Force Awakens,2015,0.8,0.6599999999999999,2252.0,"A new order threatens to destroy the New Republic. Finn, Rey and Poe, backed by the Resistance and the Republic, must find a way to stop them and find Luke, the last surviving Jedi.",0.78,0.93,,Star Wars: Episode VII - The Force Awakens-2015
Avengers: Infinity War,2018,0.92,0.9400000000000001,5519.0,"The Avengers must stop Thanos, an intergalactic warlord, from getting his hands on all the infinity stones. However, Thanos is prepared to go to any lengths to carry out his insane plan.",0.8400000000000001,0.85,,Avengers: Infinity War-2018
Jurassic World,2015,0.88,0.9199999999999999,2086.0,A theme park showcasing genetically-engineered dinosaurs turns into a nightmare for its tourists when one of the dinosaurs escapes its enclosure. An ex-military animal expert steps up to save the day.,0.7,0.71,,Jurassic World-2015
The Lion King,2019,0.86,0.78,3526.0,"Simba, a young lion prince, flees his kingdom after the murder of his father, Mufasa. Years later, a chance encounter with Nala, a lioness, causes him to return and take back what is rightfully his.",0.6799999999999999,0.52,0.55,The Lion King-2019
The Avengers,2012,0.87,0.9400000000000001,3208.0,Nick Fury is compelled to launch the Avengers Initiative when Loki poses a threat to planet Earth. His squad of superheroes put their minds together to accomplish the task.,0.8,0.91,,The Avengers-2012
Furious 7,2015,0.88,0.96,1323.0,Dominic and his family are caught in a quagmire when Shaw's brother seeks bloody revenge. They must not only deal with their enemy but also save a crucial programme from falling into the wrong hands.,0.71,0.82,,Furious 7-2015
Frozen II,2019,0.88,0.86,8988.0,"Queen Elsa begins to hear a mysterious melodic voice calling to her. Unsettled, she answers it, thus awakening the elemental spirits and setting into motion a quest to restore an old injustice.",0.6799999999999999,0.78,0.64,Frozen II-2019
Avengers: Age of Ultron,2015,0.87,0.86,1190.0,"Tony Stark builds an artificial intelligence system named Ultron with the help of Bruce Banner. When the sentient Ultron makes plans to wipe out the human race, the Avengers set out to stop him.",0.73,0.76,,Avengers: Age of Ultron-2015
Black Panther,2018,0.9,0.9199999999999999,4835.0,"After his father's death, T'Challa returns home to Wakanda to inherit his throne. However, a powerful enemy related to his family threatens to attack his nation.",0.73,0.96,0.88,Black Panther-2018
Harry Potter and the Deathly Hallows: Part 2,2011,0.91,0.9800000000000001,2363.0,"Harry, Ron and Hermione race against time to destroy the remaining Horcruxes. Meanwhile, the students and teachers unite to defend Hogwarts against Lord Voldemort and the Death Eaters.",0.8099999999999999,0.96,0.85,Harry Potter and the Deathly Hallows: Part 2-2011
Star Wars: Episode VIII - The Last Jedi,2017,0.69,0.48,5250.0,"Concerned about how strong she is, Luke Skywalker guides Rey as she trains and develops her powers in hopes of assisting the Resistance in their fight against the First Order.",0.6900000000000001,0.91,,Star Wars: Episode VIII - The Last Jedi-2017
Jurassic World: Fallen Kingdom,2018,0.87,0.82,1692.0,"After a volcano eruption proves to be a threat for the dinosaurs, Owen and Claire reach the defunct Jurassic World, a theme park, to save the animals from extinction.",0.62,0.47,,Jurassic World: Fallen Kingdom-2018
Frozen,2013,0.83,0.8400000000000001,1860.0,"Anna sets out on a journey with an iceman, Kristoff, and his reindeer, Sven, in order to find her sister, Elsa, who has the power to convert any object or person into ice.",0.74,0.9,,Frozen-2013
Beauty and the Beast,2017,0.87,0.9,1960.0,"Belle, a village girl, embarks on a journey to save her father from a creature that has locked him in his dungeon. Eventually, she learns that the creature is an enchanted prince who has been cursed.",0.71,0.71,0.65,Beauty and the Beast-2017
Incredibles 2,2018,0.91,0.8800000000000001,1022.0,"Entrusted with a task to restore public faith in superheroes, Helen sets off on a mission to catch a supervillain, while Bob faces the challenges of stay-at-home parenting.",0.76,0.93,,Incredibles 2-2018
The Fate of the Furious,2017,0.86,0.8800000000000001,1406.0,"Dom encounters a mysterious woman, Cipher, who gets him involved in the world of terrorism. The crew has to reunite to stop Cipher and save the man who brought them together as a family.",0.6599999999999999,0.67,,The Fate of the Furious-2017
Iron Man 3,2013,0.89,0.82,1193.0,"Tony Stark encounters a formidable foe called the Mandarin. After failing to defeat his enemy, Tony embarks on a journey of self-discovery as he fights against the powerful Mandarin.",0.71,0.79,,Iron Man 3-2013
Minions,2015,0.79,0.8400000000000001,973.0,"Minions Kevin, Stuart and Bob decide to find a new master. They embark on a global trip and meet Scarlett Overkill, a female super-villain who recruits them and hatches a plan to take over the world.",0.64,0.55,,Minions-2015
Captain America: Civil War,2016,0.86,0.9199999999999999,1853.0,Friction arises between the Avengers when one group supports the government's decision to implement a law to control their powers while the other opposes it.,0.78,0.9,,Captain America: Civil War-2016
Aquaman,2018,0.84,0.78,3513.0,"Half-human, half-Atlantean Arthur is born with the ability to communicate with marine creatures. He goes on a quest to retrieve the legendary Trident of Atlan and protect the water world.",0.6900000000000001,0.65,,Aquaman-2018
The Lord of the Rings: The Return of the King,2003,0.89,0.9800000000000001,1622.0,"The former Fellowship members prepare for the final battle. While Frodo and Sam approach Mount Doom to destroy the One Ring, they follow Gollum, unaware of the path he is leading them to.",0.89,0.93,,The Lord of the Rings: The Return of the King-2003
Spider-Man: Far from Home,2019,0.86,0.86,4907.0,"Peter Parker, the beloved superhero Spider-Man, faces four destructive elemental monsters while on holiday in Europe. Soon, he receives help from Mysterio, a fellow hero with mysterious origins.",0.74,0.9,0.69,Spider-Man: Far from Home-2019
