Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year
Avatar,"$2,847,246,203","$760,507,625",26.7%,"$2,086,738,578",73.3%,2009
Avengers: Endgame,"$2,797,501,328","$858,373,000",30.7%,"$1,939,128,328",69.3%,2019
Titanic,"$2,201,647,264","$659,363,944",30%,"$1,542,283,320",70%,1997
Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015
Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018
Jurassic World,"$1,670,516,444","$652,385,625",39%,"$1,018,130,819",61%,2015
The Lion King,"$1,662,899,439","$543,638,043",32.7%,"$1,119,261,396",67.3%,2019
The Avengers,"$1,518,815,515","$623,357,910",41%,"$895,457,605",59%,2012
Furious 7,"$1,515,341,399","$353,007,020",23.3%,"$1,162,334,379",76.7%,2015
Frozen II,"$1,450,026,933","$477,373,578",32.9%,"$972,653,355",67.1%,2019
Avengers: Age of Ultron,"$1,402,809,540","$459,005,868",32.7%,"$943,803,672",67.3%,2015
Black Panther,"$1,347,597,973","$700,426,566",52%,"$647,171,407",48%,2018
Harry Potter and the Deathly Hallows: Part 2,"$1,342,321,665","$381,409,310",28.4%,"$960,912,355",71.6%,2011
Star Wars: Episode VIII - The Last Jedi,"$1,332,698,830","$620,181,382",46.5%,"$712,517,448",53.5%,2017
Jurassic World: Fallen Kingdom,"$1,310,466,296","$417,719,760",31.9%,"$892,746,536",68.1%,2018
Frozen,"$1,281,508,100","$400,953,009",31.3%,"$880,555,091",68.7%,2013
Beauty and the Beast,"$1,273,576,220","$504,481,165",39.6%,"$769,095,055",60.4%,2017
Incredibles 2,"$1,243,089,244","$608,581,744",49%,"$634,507,500",51%,2018
The Fate of the Furious,"$1,236,005,118","$226,008,385",18.3%,"$1,009,996,733",81.7%,2017
Iron Man 3,"$1,214,811,252","$409,013,994",33.7%,"$805,797,258",66.3%,2013
Minions,"$1,159,444,662","$336,045,770",29%,"$823,398,892",71%,2015
Captain America: Civil War,"$1,153,337,496","$408,084,349",35.4%,"$745,253,147",64.6%,2016
Aquaman,"$1,148,485,886","$335,061,807",29.2%,"$813,424,079",70.8%,2018
The Lord of the Rings: The Return of the King,"$1,146,030,912","$377,845,905",33%,"$768,185,007",67%,2003
Spider-Man: Far from Home,"$1,131,927,996","$390,532,085",34.5%,"$741,395,911",65.5%,2019
Captain Marvel,"$1,128,462,972","$426,829,839",37.8%,"$701,633,133",62.2%,2019
Transformers: Dark of the Moon,"$1,123,794,079","$352,390,543",31.4%,"$771,403,536",68.6%,2011
Skyfall,"$1,108,569,499","$304,360,277",27.5%,"$804,209,222",72.5%,2012
Transformers: Age of Extinction,"$1,104,054,072","$245,439,076",22.2%,"$858,614,996",77.8%,2014
The Dark Knight Rises,"$1,081,142,612","$448,139,099",41.4%,"$633,003,513",58.6%,2012
Joker,"$1,074,419,384","$335,451,311",31.2%,"$738,968,073",68.8%,2019
Star Wars: Episode IX - The Rise of Skywalker,"$1,074,149,279","$515,202,542",48%,"$558,946,737",52%,2019
Toy Story 4,"$1,073,394,593","$434,038,008",40.4%,"$639,356,585",59.6%,2019
