review,mojo_name,mojo_year,rt_name,genre,release_year,stream_year
"You are almost willing to forgive the cheesy emotional climax especially when it ends with Cruise's electric smile. This one's for Reacher, Cruise and Child fans alone.",Jack Reacher,2012,Jack Reacher: Never Go Back - Movie Reviews,"Mystery & Thriller , Action",2016,2017
"Jack Reacher: Never Go Back is dispiritingly formulaic, retaining much of the first film's swaggering masculinity, but none of its self-awareness.",Jack Reacher,2012,Jack Reacher: Never Go Back - Movie Reviews,"Mystery & Thriller , Action",2016,2017
"A bland and generic action flick, not just forgettable after the fact, but during.",Jack Reacher,2012,Jack Reacher: Never Go Back - Movie Reviews,"Mystery & Thriller , Action",2016,2017
Tom Cruise's latest action spectacular is so dull that I found myself willing on the baddies.,Jack Reacher,2012,Jack Reacher: Never Go Back - Movie Reviews,"Mystery & Thriller , Action",2016,2017
"Admittedly, it's also a touch flavour-free, but it applies itself to telling its story single-mindedly, with a minimum of digression and frills.",Jack Reacher,2012,Jack Reacher: Never Go Back - Movie Reviews,"Mystery & Thriller , Action",2016,2017
The understated ending is downright touching -- which is not something I ever thought I'd say of a Cruise action sequel.,Jack Reacher,2012,Jack Reacher: Never Go Back - Movie Reviews,"Mystery & Thriller , Action",2016,2017
The film stalls out in moments of emotionally blas treacle that feels inelegantly forced into the proceedings.,Jack Reacher,2012,Jack Reacher: Never Go Back - Movie Reviews,"Mystery & Thriller , Action",2016,2017
"With Smulders and Yarosh on camera almost as much as Cruise, Never Go Back doubles the number of key women from the 2012 film. If only the story was as good.",Jack Reacher,2012,Jack Reacher: Never Go Back - Movie Reviews,"Mystery & Thriller , Action",2016,2017
Jack Reacher: Never Go Back is a sequel that didn't need to happen. The twisty-turny plot is overly complicated and aggressively average.,Jack Reacher,2012,Jack Reacher: Never Go Back - Movie Reviews,"Mystery & Thriller , Action",2016,2017
"Overall this is a slick action-adventure that has relevant reverberations from the American involvement in Afghanistan and Iraq, and touches on the complex nature of the war on terror.",Jack Reacher,2012,Jack Reacher: Never Go Back - Movie Reviews,"Mystery & Thriller , Action",2016,2017
"The feel for the epic that once gave this director's films a pop grandeur is also gone. He's made a totally anonymous movie, devoid of personality or interest.",Jack Reacher,2012,Jack Reacher: Never Go Back - Movie Reviews,"Mystery & Thriller , Action",2016,2017
"The film has the empty sheen of a quick in-and-out cash grab, a movie insisting that it's a franchise while the audience yawns indifferently.",Jack Reacher,2012,Jack Reacher: Never Go Back - Movie Reviews,"Mystery & Thriller , Action",2016,2017
"Notable chiefly for director Edward Zwick's utter failure to make New Orleans look any more enticing and atmospheric than, say, Omaha.",Jack Reacher,2012,Jack Reacher: Never Go Back - Movie Reviews,"Mystery & Thriller , Action",2016,2017
"Reacher has no personality. He has no interests. He has no one-liners that land. He is, frankly, just a handsome, dull guy who happens to be adept at knocking people out.",Jack Reacher,2012,Jack Reacher: Never Go Back - Movie Reviews,"Mystery & Thriller , Action",2016,2017
Wedge matchsticks in your eye sockets. Stock up on the strongest coffee. Cinema's most boring homeless person has just got off the bus for a second time.,Jack Reacher,2012,Jack Reacher: Never Go Back - Movie Reviews,"Mystery & Thriller , Action",2016,2017
It would be a refreshing departure from the more bombastic set pieces of modern Hollywood if it weren't all so lazily executed.,Jack Reacher,2012,Jack Reacher: Never Go Back - Movie Reviews,"Mystery & Thriller , Action",2016,2017
"It hums along, but it's standard issue action stuff, and the first ""Jack Reacher"" taught us to expect more than that.",Jack Reacher,2012,Jack Reacher: Never Go Back - Movie Reviews,"Mystery & Thriller , Action",2016,2017
Tom Cruise still runs very fast and looks good with his shirt off.,Jack Reacher,2012,Jack Reacher: Never Go Back - Movie Reviews,"Mystery & Thriller , Action",2016,2017
"Taken as a piece of consumer advice, it prompts the retroactive complaint that its predecessor lacked one. Don't Even Start?",Jack Reacher,2012,Jack Reacher: Never Go Back - Movie Reviews,"Mystery & Thriller , Action",2016,2017
What has started as a pared-down and brutal thriller turns into a family melodrama.,Jack Reacher,2012,Jack Reacher: Never Go Back - Movie Reviews,"Mystery & Thriller , Action",2016,2017
