Year,Title,Worldwide Gross
2013,The Hunger Games: Catching Fire,"$865,011,746"
2014,The Hunger Games: Mockingjay – Part 1,"$755,356,711"
2012,The Hunger Games,"$694,394,724"
1994,Forrest Gump,"$678,222,284"
2015,The Hunger Games: Mockingjay – Part 2,"$653,428,261"
2006,Casino Royale,"$616,501,619"
2018,Ready Player One,"$582,890,172"
2011,Cars 2,"$562,110,557"
2006,Cars,"$462,216,280"
2000,Gladiator,"$460,583,960"
2019,Alita: Battle Angel,"$404,852,543"
2017,Cars 3,"$383,930,656"
2008,Slumdog Millionaire,"$378,021,385"
2009,Fast & Furious,"$363,164,265"
2010,The Karate Kid,"$359,126,022"
1973,Enter the Dragon,"$350,000,000"
2017,XXX: Return of Xander Cage,"$345,963,851"
2016,Dangal,"$340,000,000"
2009,The Blind Side,"$309,208,309"
1985,Rocky IV,"$300,473,716"
1977,Smokey and the Bandit,"$300,000,000"
2011,Real Steel,"$299,268,508"
2013,Turbo,"$282,570,682"
2002,xXx,"$277,448,382"
1996,Jerry Maguire,"$273,552,592"
1982,Rocky III,"$270,000,000"
2013,Planes,"$239,258,712"
1977,Saturday Night Fever,"$237,113,184"
2003,2 Fast 2 Furious,"$236,350,661"
1996,Space Jam,"$230,418,342"
2019,Ford v Ferrari,"$225,508,210"
1976,Rocky,"$225,000,000"
2004,Million Dollar Baby,"$216,763,646"
2018,Creed II,"$214,115,889"
2001,The Fast and the Furious,"$207,283,925"
1979,Rocky II,"$200,182,160"
2005,The Longest Yard,"$190,320,568"
1998,The Waterboy,"$185,991,646"
2019,Ip Man 4: The Finale,"$176,345,966"
2015,Creed,"$173,567,581"
2004,Dodgeball: A True Underdog Story,"$167,722,310"
2006,Talladega Nights: The Ballad of Ricky Bobby,"$162,966,177"
1981,The Cannonball Run,"$160,000,000"
2008,21,"$159,808,370"
2006,The Fast and the Furious: Tokyo Drift,"$158,468,292"
2015,Ip Man 3,"$157,300,954"
2021,Space Jam: A New Legacy,"$156,261,371"
2006,Rocky Balboa,"$155,720,088"
1993,Cool Runnings,"$154,856,263"
2007,Surf's Up,"$149,044,513"
2019,Avengers: Endgame,"$2,797,800,564"
2018,Avengers: Infinity War,"$2,048,359,754"
2012,The Avengers,"$1,518,812,988"
2015,Avengers: Age of Ultron,"$1,405,403,694"
2018,Black Panther,"$1,346,913,171"
2018,Incredibles 2,"$1,242,805,359"
2013,Iron Man 3,"$1,214,811,252"
2016,Captain America: Civil War,"$1,153,304,495"
2018,Aquaman,"$1,148,161,807"
2019,Spider-Man: Far From Home,"$1,131,927,996"
2019,Captain Marvel,"$1,128,274,794"
2012,The Dark Knight Rises,"$1,081,041,287"
2019,Joker,"$1,074,251,311"
2008,The Dark Knight,"$1,005,973,645"
2007,Spider-Man 3,"$890,871,626"
2017,Spider-Man: Homecoming,"$880,166,924"
2016,Batman v Superman: Dawn of Justice,"$873,634,919"
2017,Guardians of the Galaxy Vol. 2,"$863,756,051"
2018,Venom,"$856,085,151"
2017,Thor: Ragnarok,"$853,977,126"
2017,Wonder Woman,"$821,847,012"
2002,Spider-Man,"$821,708,551"
2004,Spider-Man 2,"$788,976,453"
2018,Deadpool 2,"$785,046,920"
2016,Deadpool,"$783,112,979"
2014,Guardians of the Galaxy,"$773,328,629"
2012,The Amazing Spider-Man,"$757,930,663"
2014,X-Men: Days of Future Past,"$747,862,775"
2016,Suicide Squad,"$746,846,894"
2003,The Matrix Reloaded,"$739,412,035"
2014,Captain America: The Winter Soldier,"$714,421,503"
2014,The Amazing Spider-Man 2,"$708,982,323"
2016,Doctor Strange,"$677,718,395"
2013,Man of Steel,"$668,045,518"
2017,Justice League,"$657,924,295"
2014,Big Hero 6,"$657,818,612"
2013,Thor: The Dark World,"$644,571,402"
2004,The Incredibles,"$633,019,734"
2008,Hancock,"$624,386,746"
2010,Iron Man 2,"$623,933,331"
2018,Ant-Man and the Wasp,"$622,674,139"
2017,Logan,"$619,021,436"
2008,Iron Man,"$585,174,222"
2016,X-Men: Apocalypse,"$543,934,787"
2014,Godzilla,"$529,076,069"
2015,Ant-Man,"$519,311,965"
2014,Teenage Mutant Ninja Turtles,"$493,333,584"
2021,Venom: Let There Be Carnage,"$483,214,422"
2021,Godzilla vs. Kong,"$467,863,133"
1999,The Matrix,"$465,343,787"
2009,Avatar,"$2,847,246,203"
2015,Star Wars: The Force Awakens,"$2,068,223,624"
2015,Jurassic World,"$1,670,516,444"
2017,Star Wars: The Last Jedi,"$1,332,539,889"
2018,Jurassic World: Fallen Kingdom,"$1,308,467,944"
2011,Transformers: Dark of the Moon,"$1,123,794,079"
2014,Transformers: Age of Extinction,"$1,104,054,072"
2019,Star Wars: The Rise of Skywalker,"$1,074,144,248"
2016,Rogue One,"$1,056,057,273"
1993,Jurassic Park,"$1,033,928,303"
1999,Star Wars: Episode I – The Phantom Menace,"$1,027,082,707"
2005,Star Wars: Episode III – Revenge of the Sith,"$868,390,560"
2010,Inception,"$836,836,967"
2009,Transformers: Revenge of the Fallen,"$836,303,693"
1996,Independence Day,"$817,400,891"
1982,E.T. the Extra-Terrestrial,"$792,910,554"
1977,Star Wars,"$775,398,007"
2003,The Matrix Reloaded,"$741,847,937"
2013,Gravity,"$723,192,705"
2014,Dawn of the Planet of the Apes,"$710,644,566"
2007,Transformers,"$709,709,780"
2014,Interstellar,"$701,729,127"
2019,The Wandering Earth,"$699,856,699"
2015,The Hunger Games: Mockingjay – Part 2,"$658,344,137"
2002,Star Wars: Episode II – Attack of the Clones,"$653,779,970"
2015,The Martian,"$630,162,235"
2012,Men in Black 3,"$624,026,776"
1997,The Lost World: Jurassic Park,"$618,638,999"
2017,Transformers: The Last Knight,"$605,425,157"
2005,War of the Worlds,"$603,873,119"
1997,Men in Black,"$589,390,539"
2007,I Am Legend,"$585,410,052"
